x,y,z,J
2.0,6.0,7.0,0.77
2.0,6.0,8.0,0.77
2.0,6.0,9.0,0.77
2.0,6.0,10.0,0.77
2.0,7.0,0.0,0.763
2.0,7.0,1.0,0.77
2.0,7.0,2.0,0.772
2.0,7.0,3.0,0.773
2.0,7.0,4.0,0.772
2.0,7.0,6.0,0.771
2.0,7.0,7.0,0.77
2.0,7.0,8.0,0.769
2.0,7.0,9.0,0.77
2.0,7.0,10.0,0.768
2.0,8.0,0.0,0.762
2.0,8.0,1.0,0.773
2.0,8.0,2.0,0.776
2.0,8.0,3.0,0.776
2.0,8.0,4.0,0.776
2.0,8.0,6.0,0.774
2.0,8.0,7.0,0.771
2.0,8.0,8.0,0.769
2.0,8.0,9.0,0.769
2.0,8.0,10.0,0.766
2.0,9.0,0.0,0.76
2.0,9.0,1.0,0.78
2.0,9.0,2.0,0.781
2.0,9.0,3.0,0.781
2.0,9.0,4.0,0.781
2.0,9.0,6.0,0.779
2.0,9.0,7.0,0.773
2.0,9.0,8.0,0.767
2.0,9.0,9.0,0.767
2.0,9.0,10.0,0.763
2.0,10.0,0.0,0.741
2.0,10.0,1.0,0.745
2.0,10.0,2.0,0.736
2.0,10.0,3.0,0.744
2.0,10.0,4.0,0.753
2.0,10.0,6.0,0.755
2.0,10.0,7.0,0.744
2.0,10.0,8.0,0.726
2.0,10.0,9.0,0.716
2.0,10.0,10.0,0.72
2.0,11.0,0.0,0.751
2.0,11.0,1.0,0.792
2.0,11.0,2.0,0.786
2.0,11.0,3.0,0.799
2.0,11.0,4.0,0.806
2.0,11.0,6.0,0.809
2.0,11.0,7.0,0.805
2.0,11.0,8.0,0.787
2.0,11.0,9.0,0.767
2.0,11.0,10.0,0.77
2.0,12.0,0.0,0.752
2.0,12.0,1.0,0.774
2.0,12.0,2.0,0.776
2.0,12.0,3.0,0.804
2.0,12.0,4.0,0.806
2.0,12.0,6.0,0.804
2.0,12.0,7.0,0.813
2.0,12.0,8.0,0.797
2.0,12.0,9.0,0.752
2.0,12.0,10.0,0.742
2.0,13.0,0.0,0.741
2.0,13.0,1.0,0.751
2.0,13.0,2.0,0.808
2.0,13.0,3.0,0.833
2.0,13.0,4.0,0.824
2.0,13.0,6.0,0.822
2.0,13.0,7.0,0.831
2.0,13.0,8.0,0.838
2.0,13.0,9.0,0.768
2.0,13.0,10.0,0.7
2.0,14.0,0.0,0.658
2.0,14.0,1.0,0.804
2.0,14.0,2.0,0.892
2.0,14.0,3.0,0.874
2.0,14.0,4.0,0.864
2.0,14.0,6.0,0.863
2.0,14.0,7.0,0.869
2.0,14.0,8.0,0.89
2.0,14.0,9.0,0.874
2.0,14.0,10.0,0.622
2.0,15.0,1.0,1.107
2.0,15.0,2.0,1.104
2.0,15.0,3.0,1.089
2.0,15.0,4.0,1.083
2.0,15.0,6.0,1.085
2.0,15.0,7.0,1.094
2.0,15.0,8.0,1.107
2.0,15.0,9.0,1.132
2.0,15.0,10.0,0.892
3.0,0.0,0.0,0.766
3.0,0.0,1.0,0.767
3.0,0.0,2.0,0.767
3.0,0.0,3.0,0.767
3.0,0.0,4.0,0.768
3.0,0.0,6.0,0.768
3.0,0.0,7.0,0.769
3.0,0.0,8.0,0.77
3.0,0.0,9.0,0.771
3.0,0.0,10.0,0.772
3.0,1.0,0.0,0.765
3.0,1.0,1.0,0.767
3.0,1.0,2.0,0.767
3.0,1.0,3.0,0.767
3.0,1.0,4.0,0.768
3.0,1.0,6.0,0.768
3.0,1.0,7.0,0.769
3.0,1.0,8.0,0.77
3.0,1.0,9.0,0.771
3.0,1.0,10.0,0.772
3.0,2.0,0.0,0.765
3.0,2.0,1.0,0.767
3.0,2.0,2.0,0.767
3.0,2.0,3.0,0.767
3.0,2.0,4.0,0.768
3.0,2.0,6.0,0.768
3.0,2.0,7.0,0.769
3.0,2.0,8.0,0.77
3.0,2.0,9.0,0.771
3.0,2.0,10.0,0.772
3.0,3.0,0.0,0.765
3.0,3.0,1.0,0.767
3.0,3.0,2.0,0.767
3.0,3.0,3.0,0.768
3.0,3.0,4.0,0.768
3.0,3.0,6.0,0.768
3.0,3.0,7.0,0.769
3.0,3.0,8.0,0.77
3.0,3.0,9.0,0.771
3.0,3.0,10.0,0.771
3.0,4.0,0.0,0.765
3.0,4.0,1.0,0.768
3.0,4.0,2.0,0.768
