% Model:              PINN对比模型.mph
% Version:            COMSOL 6.0.0.318
% Date:               Mar 11 2026, 16:01
% Dimension:          3
% Nodes:              9008
% Expressions:        1
% Description:        
% Length unit:        null
% x,y,z,Jsolid @ t=2.592E5
-0.012294124814158546,-0.010372049908738244,-0.0077777777777777776,0.8495888996019905
-0.012117766199440319,-0.005258550661906018,-0.007777777777777778,0.7264036004036316
-0.012942024465383012,-0.005909311379609276,-0.0077777777777777776,0.789913004338459
-0.011375782323665188,-0.006120274650297972,-0.007777777777777777,0.7251195238897886
-0.01220565160127936,-0.0068645415296047264,-0.0077777777777777776,0.7924871928916066
-0.012139407391885628,-0.011920866929371405,-0.008888888888888889,1.0986118684681847
-0.012139407807077698,-0.011920867654202678,-0.01,0.05024755455496691
-0.011397691823868275,-0.011051742870447927,-0.008888888888888889,0.7946689399212316
-0.011397691823868274,-0.011051742870447927,-0.01,0.6726800820111216
-0.011433217205266303,-0.009522308252679152,-0.01,0.7265887192669096
-0.011433217205266303,-0.009522308252679154,-0.008888888888888889,0.759902827921627
-0.01055008636056672,-0.006902269235451904,-0.01,0.705985227968166
-0.010550086294502171,-0.0069022691586128814,-0.008888888888888889,0.7313863384737551
-0.011359283587767345,-0.007781177505940019,-0.01,0.725646235168123
-0.011359283587767345,-0.007781177505940019,-0.008888888888888889,0.7954861441306049
-0.012760027677437086,-0.004320263062793332,-0.01,0.7212448530587033
-0.012760029199137154,-0.004320263978729377,-0.00888888888888889,0.7345415698309872
-0.01735233564568682,-0.007458501980771839,-0.00444444444444444,1.0221128601489653
-0.016392570535349347,-0.006805742210080105,-0.004444444444444442,0.8215667318139136
-0.017011998409438678,-0.005821319635595121,-0.005555555555555553,0.8159357562554279
-0.01801391896707332,-0.006516750105638568,-0.005555555555555551,1.0174815573169622
-0.018594807560946308,-0.0055232360642469246,-0.006666666666666663,1.0229070584971591
-0.017597675009101223,-0.004830326151181639,-0.0066666666666666645,0.8181157759296123
-0.019479152728976462,-0.0034009509759301156,-0.007777777777777778,1.034515594244948
-0.01908609070557095,-0.004482537466438963,-0.007777777777777776,1.0430782582742537
-0.01856062416722205,-0.002873644405246228,-0.007777777777777776,0.8414335292025452
-0.01812229275469045,-0.0038765119988935855,-0.007777777777777776,0.8344905764176478
-0.018720319676970663,-0.001980043116526561,-0.007777777777777776,0.8358310495128047
-0.019766258606537603,-0.002286580228956872,-0.007777777777777776,1.0301209113211807
-0.014148669755864877,-0.0038576589278058486,-0.01,0.7322937664289234
-0.014148669755864877,-0.003857658927805848,-0.008888888888888889,0.7839537312232034
-0.017836535510101698,-0.0026432873208360732,-0.009999999999999998,0.761142888547615
-0.0178365355101017,-0.002643287320836073,-0.008888888888888887,0.7477638998617051
-0.017191150049034036,-0.003197751106292637,-0.009999999999999998,0.7383076103965751
-0.017191150049034036,-0.0031977511062926366,-0.008888888888888887,0.7535866389083432
-0.015683717572411937,-0.003344689464017175,-0.009999999999999998,0.7262069449443184
-0.015683717572411937,-0.0033446894640171746,-0.008888888888888887,0.7757107207065973
-0.01768743154123968,-0.0018038641450250142,-0.009999999999999998,0.7514396057494024
-0.01768743154123968,-0.0018038641450250138,-0.008888888888888887,0.7642496232894839
-0.018854337096130807,-8.980283477933278E-4,-0.009999999999999998,0.6992513456371812
-0.018854337096130807,-8.980283477933276E-4,-0.008888888888888887,0.8341397180161936
-0.01895953475717268,1.8786080399307113E-4,-0.009999999999999998,0.6990728303808638
-0.018959534757172682,1.8786080399307137E-4,-0.008888888888888887,0.8467176185970369
-0.01994121534742689,-0.0011492211904040885,-0.009999999999999998,0.11016344543502375
-0.019941215415515336,-0.0011492211973800385,-0.008888888888888887,1.046423684290305
-0.02,-1.738814484103483E-18,-0.009999999999999998,0.09505701259782845
-0.019999999999999997,-1.738814484103483E-18,-0.008888888888888887,1.042377393945746
-0.018995204946397372,0.0012091978220317241,-0.009999999999999998,0.6976379185954155
-0.018995204946397375,0.0012091978220317243,-0.008888888888888887,0.8582212136357816
-0.01891066407273291,0.0021440258119837267,-0.009999999999999998,0.6940267633697075
-0.01891066407273291,0.002144025811983727,-0.008888888888888887,0.8711228601219403
-0.01994121534742689,0.001149221190404085,-0.009999999999999998,0.06409338478300798
-0.019941215415515336,0.0011492211973800274,-0.008888888888888887,1.0325844549357912
-0.019766258322331393,0.002286580170508378,-0.009999999999999998,0.04220522420933041
-0.01976625860653761,0.002286580228956831,-0.008888888888888887,1.0282595165889206
-0.018627759680179698,0.0030471580011657996,-0.009999999999999998,0.6930823541281996
-0.018627759680179698,0.0030471580011657996,-0.008888888888888887,0.8583269302229654
-0.019479152073175757,0.003400950772376093,-0.009999999999999998,0.05515304997491546
-0.019479152728976462,0.0034009509759301035,-0.008888888888888887,1.0378573530177768
-0.015353154645921779,-0.008506230994570386,-0.0033333333333333314,0.8150398937935363
-0.015787036663087287,-0.0077555772296802414,-0.0033333333333333314,0.8363204827979059
-0.015821649228317684,-0.009175642829199592,-0.0033333333333333288,1.0439108368442394
-0.016618813096266064,-0.008345415887788267,-0.003333333333333327,1.0307787650295972
